epoch,time(s),train_loss,test_loss,test_error(%)
001,00031,1.798830,0.00163,59.74
002,00030,1.614369,0.00148,53.16
003,00030,1.460994,0.00126,44.59
004,00030,1.361713,0.00116,40.13
005,00031,1.256847,0.00102,34.68
006,00030,1.234951,0.00099,34.03
007,00030,1.180642,0.00093,29.78
008,00030,1.153963,0.00091,30.46
009,00030,1.085745,0.00086,29.18
010,00030,1.065274,0.00088,30.22
011,00030,1.042898,0.00083,26.78
012,00030,1.037630,0.00083,27.91
013,00030,1.024690,0.00081,27.28
014,00030,0.990507,0.00084,29.02
015,00030,0.976544,0.00074,24.52
016,00030,0.973000,0.00076,25.14
017,00030,0.961582,0.00080,26.06
018,00030,1.015877,0.00076,25.49
019,00030,0.960080,0.00075,24.90
020,00030,0.980018,0.00073,23.76
021,00030,0.987140,0.00075,24.61
022,00030,0.917941,0.00076,24.78
023,00030,0.924983,0.00070,23.41
024,00030,0.943360,0.00071,23.16
025,00030,0.916343,0.00079,27.23
026,00030,0.901544,0.00072,23.69
027,00030,0.940655,0.00080,26.39
028,00030,0.941315,0.00070,23.43
029,00030,0.927997,0.00070,22.86
030,00030,0.883156,0.00070,22.62
031,00029,0.905690,0.00071,23.75
032,00030,0.897431,0.00069,22.97
033,00030,0.881041,0.00065,21.73
034,00030,0.887956,0.00066,21.79
035,00030,0.869990,0.00067,21.99
036,00030,0.890660,0.00073,25.11
037,00030,0.881826,0.00066,21.33
038,00030,0.898562,0.00069,22.05
039,00030,0.857917,0.00066,21.89
040,00030,0.847904,0.00064,20.83
041,00030,0.862705,0.00063,20.84
042,00030,0.818498,0.00065,21.77
043,00030,0.839129,0.00068,22.84
044,00030,0.821715,0.00062,20.51
045,00030,0.838670,0.00064,20.92
046,00030,0.798229,0.00058,17.95
047,00030,0.797382,0.00061,19.92
048,00030,0.867485,0.00060,19.28
049,00030,0.780420,0.00061,20.13
050,00030,0.763934,0.00061,20.54
051,00030,0.797140,0.00062,20.33
052,00030,0.766914,0.00061,19.49
053,00030,0.749028,0.00059,19.80
054,00030,0.779423,0.00060,19.14
055,00030,0.763909,0.00057,19.45
056,00030,0.773425,0.00057,19.04
057,00030,0.719319,0.00055,18.10
058,00030,0.721330,0.00058,20.09
059,00030,0.716274,0.00056,18.32
060,00030,0.706101,0.00058,19.50
061,00030,0.721171,0.00052,16.67
062,00030,0.699814,0.00053,17.64
063,00030,0.677193,0.00050,16.58
064,00030,0.691408,0.00055,18.28
065,00030,0.710896,0.00051,16.64
066,00030,0.685056,0.00050,16.35
067,00030,0.664331,0.00049,16.04
068,00030,0.670063,0.00048,16.00
069,00030,0.692320,0.00049,15.86
070,00030,0.649658,0.00047,15.49
071,00030,0.626288,0.00046,15.32
072,00030,0.609737,0.00050,17.14
073,00030,0.618457,0.00046,15.44
074,00030,0.618740,0.00044,14.73
075,00030,0.586686,0.00047,15.93
076,00030,0.579544,0.00044,14.65
077,00030,0.569500,0.00045,14.81
078,00030,0.553070,0.00041,13.60
079,00030,0.551067,0.00042,13.81
080,00030,0.558975,0.00043,14.77
081,00030,0.538118,0.00042,14.52
082,00030,0.519812,0.00039,13.25
083,00030,0.484518,0.00040,13.22
084,00030,0.535524,0.00038,12.80
085,00030,0.502418,0.00039,12.70
086,00030,0.494708,0.00038,12.95
087,00030,0.456150,0.00038,12.81
088,00030,0.470220,0.00036,12.64
089,00030,0.457446,0.00035,11.88
090,00030,0.424630,0.00035,11.93
091,00030,0.425453,0.00035,12.33
092,00030,0.395267,0.00034,11.64
093,00030,0.390054,0.00034,11.60
094,00030,0.387166,0.00034,11.48
095,00030,0.398795,0.00033,11.23
096,00030,0.394626,0.00033,11.28
097,00030,0.370017,0.00033,11.11
098,00030,0.356363,0.00033,11.21
099,00030,0.381728,0.00033,11.10
100,00030,0.376778,0.00033,11.06
101,00000,0.000000,0.00000,16.76
