epoch,time(s),train_loss,test_loss,test_error(%)
001,00051,1.793436,0.00320,56.97
002,00049,1.627046,0.00287,51.42
003,00051,1.550712,0.00280,50.75
004,00049,1.487194,0.00256,45.57
005,00049,1.435086,0.00243,42.14
006,00048,1.351519,0.00224,39.47
007,00054,1.258927,0.00212,37.28
008,00052,1.174812,0.00189,32.77
009,00051,1.143349,0.00183,31.36
010,00050,1.109430,0.00183,30.44
011,00052,1.060890,0.00174,30.57
012,00049,1.013017,0.00159,26.85
013,00050,0.965170,0.00160,26.62
014,00051,0.934440,0.00149,25.39
015,00051,0.946396,0.00149,24.60
016,00050,0.887042,0.00143,23.71
017,00051,0.854401,0.00141,23.88
018,00051,0.827617,0.00131,22.49
019,00051,0.845403,0.00138,23.05
020,00050,0.820901,0.00130,22.82
021,00051,0.805472,0.00124,20.59
022,00049,0.764559,0.00122,20.63
023,00050,0.773817,0.00121,20.43
024,00051,0.711524,0.00117,20.13
025,00049,0.726893,0.00119,19.83
026,00049,0.712755,0.00114,19.22
027,00051,0.719282,0.00110,19.11
028,00050,0.674805,0.00112,18.76
029,00048,0.670382,0.00115,19.98
030,00048,0.621589,0.00107,18.43
031,00051,0.650793,0.00106,18.07
032,00051,0.653806,0.00106,17.96
033,00049,0.603933,0.00105,18.03
034,00051,0.604454,0.00108,18.34
035,00051,0.597554,0.00104,17.53
036,00050,0.584106,0.00103,17.36
037,00050,0.587936,0.00103,17.48
038,00050,0.591640,0.00102,17.75
039,00049,0.580935,0.00104,17.60
040,00050,0.549660,0.00102,17.20
041,00051,0.512404,0.00099,16.73
042,00050,0.531969,0.00100,16.90
043,00050,0.553362,0.00101,17.05
044,00049,0.481645,0.00101,17.02
045,00049,0.474037,0.00100,17.12
046,00049,0.465104,0.00099,16.78
047,00050,0.483761,0.00099,16.50
048,00049,0.481599,0.00100,17.02
049,00050,0.484864,0.00100,17.06
050,00050,0.433564,0.00098,16.34
051,00049,0.426683,0.00099,16.55
052,00049,0.422809,0.00098,16.59
053,00048,0.442251,0.00097,16.43
054,00049,0.421957,0.00102,17.09
055,00049,0.417095,0.00098,15.97
056,00049,0.380454,0.00097,15.67
057,00050,0.412237,0.00100,16.33
058,00048,0.370810,0.00098,15.77
059,00050,0.359867,0.00098,15.66
060,00050,0.406225,0.00098,16.31
061,00050,0.376860,0.00098,15.85
062,00049,0.378415,0.00097,15.80
063,00049,0.363384,0.00100,16.10
064,00049,0.329762,0.00101,15.94
065,00048,0.321194,0.00103,15.75
066,00050,0.319279,0.00105,15.86
067,00049,0.307465,0.00101,16.04
068,00050,0.300085,0.00107,16.22
069,00050,0.343902,0.00104,15.65
070,00049,0.341778,0.00106,16.11
071,00049,0.302132,0.00108,15.75
072,00050,0.296267,0.00105,15.51
073,00051,0.292862,0.00105,15.53
074,00049,0.273658,0.00112,15.58
075,00049,0.303078,0.00111,15.44
076,00048,0.255561,0.00111,15.55
077,00050,0.266624,0.00115,15.35
078,00049,0.267018,0.00114,15.35
079,00050,0.262690,0.00119,15.36
080,00049,0.286298,0.00130,15.72
081,00050,0.265073,0.00133,15.72
082,00049,0.256291,0.00123,15.47
083,00049,0.226777,0.00131,15.59
084,00048,0.231049,0.00123,15.45
085,00050,0.226250,0.00133,15.46
086,00050,0.209459,0.00144,15.43
087,00050,0.286415,0.00133,15.42
088,00049,0.227868,0.00133,15.37
089,00050,0.214523,0.00134,15.36
090,00049,0.231746,0.00141,15.43
091,00049,0.208845,0.00139,15.46
092,00049,0.257260,0.00136,15.42
093,00049,0.223178,0.00136,15.29
094,00049,0.200060,0.00139,15.46
095,00050,0.241162,0.00139,15.33
096,00050,0.195105,0.00140,15.37
097,00049,0.214869,0.00141,15.42
098,00049,0.207819,0.00141,15.48
099,00050,0.219106,0.00141,15.41
100,00049,0.209322,0.00141,15.41
101,00000,0.000000,0.00000,20.33
