epoch,time(s),train_loss,test_loss,test_error(%)
001,00049,1.960205,0.00358,63.13
002,00048,1.942902,0.00346,61.25
003,00049,1.931783,0.00341,60.64
004,00050,1.935212,0.00344,61.94
005,00048,1.933472,0.00344,60.56
006,00048,1.899159,0.00338,61.06
007,00049,1.887551,0.00333,59.41
008,00050,1.871687,0.00334,60.22
009,00048,1.892368,0.00335,60.13
010,00050,1.863359,0.00330,58.08
011,00048,1.873038,0.00330,59.59
012,00048,1.858897,0.00326,59.17
013,00048,1.869280,0.00327,58.38
014,00049,1.826295,0.00325,58.84
015,00049,1.835750,0.00319,56.36
016,00048,1.807826,0.00318,56.85
017,00048,1.837042,0.00320,57.19
018,00050,1.805517,0.00316,56.36
019,00049,1.830838,0.00312,55.40
020,00048,1.806564,0.00315,55.72
021,00048,1.810643,0.00314,56.06
022,00048,1.815819,0.00314,56.61
023,00048,1.811773,0.00317,56.39
024,00048,1.802802,0.00313,55.89
025,00049,1.746871,0.00308,54.94
026,00048,1.765894,0.00301,53.66
027,00049,1.728740,0.00296,52.53
028,00048,1.740591,0.00300,53.90
029,00049,1.677089,0.00302,54.08
030,00049,1.695928,0.00294,52.94
031,00049,1.699328,0.00291,51.80
032,00048,1.693107,0.00286,50.78
033,00048,1.690129,0.00290,52.07
034,00048,1.682000,0.00288,51.31
035,00048,1.667781,0.00287,50.50
036,00050,1.674243,0.00287,50.97
037,00049,1.669578,0.00285,51.27
038,00048,1.666520,0.00285,50.71
039,00050,1.647678,0.00282,49.63
040,00049,1.662957,0.00286,51.10
041,00050,1.654011,0.00281,49.58
042,00048,1.631050,0.00285,50.84
043,00047,1.675755,0.00283,50.08
044,00048,1.634309,0.00280,49.79
045,00048,1.635202,0.00279,49.49
046,00048,1.642822,0.00283,50.16
047,00048,1.654430,0.00279,49.04
048,00049,1.629954,0.00282,50.74
049,00048,1.639183,0.00278,48.80
050,00047,1.629870,0.00277,49.21
051,00048,1.637517,0.00274,48.28
052,00049,1.633999,0.00280,50.05
053,00048,1.592563,0.00274,48.29
054,00049,1.614625,0.00276,48.54
055,00047,1.599337,0.00275,48.27
056,00049,1.595157,0.00274,48.40
057,00048,1.606162,0.00272,48.06
058,00050,1.594748,0.00275,48.27
059,00048,1.585274,0.00277,49.37
060,00048,1.626938,0.00272,47.77
061,00048,1.612625,0.00272,48.09
062,00048,1.577449,0.00272,48.49
063,00048,1.583155,0.00272,48.68
064,00049,1.585725,0.00271,47.51
065,00048,1.577710,0.00271,47.75
066,00049,1.606719,0.00271,47.88
067,00050,1.582014,0.00271,47.84
068,00049,1.579441,0.00269,47.21
069,00049,1.556048,0.00269,47.68
070,00051,1.579806,0.00267,47.30
071,00049,1.577707,0.00267,46.85
072,00048,1.584361,0.00268,47.85
073,00049,1.574537,0.00269,47.40
074,00050,1.551050,0.00267,47.39
075,00049,1.583321,0.00265,46.85
076,00048,1.559622,0.00265,47.35
077,00049,1.585792,0.00266,46.81
078,00049,1.537991,0.00266,46.54
079,00049,1.553333,0.00265,46.53
080,00049,1.582660,0.00266,46.50
081,00050,1.568214,0.00263,46.44
082,00049,1.573418,0.00265,46.83
083,00049,1.591326,0.00263,46.53
084,00050,1.588388,0.00264,46.41
085,00049,1.587051,0.00265,46.51
086,00049,1.531629,0.00262,46.01
087,00051,1.566676,0.00263,46.19
088,00049,1.548684,0.00263,46.37
089,00049,1.556361,0.00262,46.04
090,00049,1.535479,0.00262,46.28
091,00049,1.524752,0.00262,46.19
092,00048,1.489866,0.00262,46.26
093,00049,1.554153,0.00261,45.91
094,00048,1.546892,0.00262,46.27
095,00049,1.508139,0.00261,46.07
096,00047,1.552005,0.00261,46.06
097,00048,1.558817,0.00261,46.10
098,00047,1.550586,0.00261,46.03
099,00048,1.530055,0.00261,46.04
100,00048,1.555260,0.00261,45.99
101,00000,0.000000,0.00000,50.21
