epoch,time(s),train_loss,test_loss,test_error(%)
001,00053,1.993380,0.00388,77.99
002,00052,1.585018,0.00275,49.81
003,00053,1.267235,0.00212,37.32
004,00051,1.100320,0.00178,30.93
005,00053,1.001161,0.00163,28.74
006,00051,0.960904,0.00150,24.39
007,00054,0.860887,0.00135,22.76
008,00053,0.863942,0.00124,20.36
009,00053,0.818977,0.00119,19.26
010,00051,0.833994,0.00125,20.99
011,00052,0.782797,0.00116,19.28
012,00052,0.751717,0.00114,19.34
013,00052,0.741120,0.00111,19.08
014,00052,0.752142,0.00110,17.86
015,00051,0.658170,0.00100,16.75
016,00050,0.640041,0.00102,16.95
017,00052,0.722481,0.00106,17.09
018,00052,0.645526,0.00098,16.31
019,00050,0.624181,0.00094,15.98
020,00053,0.612256,0.00095,15.76
021,00053,0.568066,0.00095,16.00
022,00054,0.603797,0.00089,15.16
023,00051,0.578319,0.00089,14.99
024,00053,0.561216,0.00084,14.58
025,00055,0.574054,0.00087,14.83
026,00053,0.590119,0.00089,15.33
027,00051,0.543060,0.00086,14.30
028,00052,0.540679,0.00084,14.31
029,00052,0.523557,0.00083,14.00
030,00051,0.479890,0.00084,14.61
031,00051,0.497762,0.00083,14.09
032,00054,0.516051,0.00082,13.87
033,00052,0.468581,0.00081,13.93
034,00052,0.525516,0.00081,13.27
035,00053,0.452685,0.00078,13.23
036,00052,0.450898,0.00078,13.16
037,00052,0.431256,0.00081,13.90
038,00052,0.436665,0.00078,13.37
039,00052,0.469878,0.00078,13.14
040,00051,0.473054,0.00086,13.99
041,00053,0.423888,0.00082,14.12
042,00052,0.398625,0.00078,13.18
043,00054,0.406838,0.00080,13.52
044,00052,0.407783,0.00080,13.22
045,00050,0.418256,0.00078,13.13
046,00051,0.409831,0.00074,12.63
047,00052,0.385457,0.00075,12.65
048,00050,0.378353,0.00079,13.62
049,00050,0.367347,0.00076,12.78
050,00050,0.361099,0.00079,13.35
051,00052,0.371530,0.00074,12.55
052,00052,0.375665,0.00074,12.51
053,00053,0.357583,0.00075,12.25
054,00053,0.317552,0.00075,12.20
055,00053,0.339180,0.00074,12.68
056,00052,0.321850,0.00076,12.63
057,00051,0.328004,0.00075,12.75
058,00050,0.311501,0.00074,12.30
059,00053,0.273165,0.00075,12.23
060,00051,0.294546,0.00074,12.02
061,00052,0.293046,0.00075,12.34
062,00052,0.284927,0.00077,12.54
063,00053,0.328477,0.00075,12.35
064,00051,0.286497,0.00078,12.47
065,00052,0.268726,0.00076,12.45
066,00054,0.273637,0.00077,11.77
067,00051,0.251659,0.00079,12.19
068,00052,0.272891,0.00078,12.13
069,00051,0.244824,0.00079,12.12
070,00053,0.274170,0.00078,11.90
071,00052,0.251916,0.00078,12.06
072,00052,0.272665,0.00082,12.43
073,00054,0.238428,0.00079,12.05
074,00052,0.223344,0.00080,12.06
075,00051,0.199269,0.00083,12.23
076,00053,0.234523,0.00081,11.98
077,00054,0.229720,0.00081,11.75
078,00053,0.241373,0.00082,11.93
079,00053,0.244098,0.00081,11.66
080,00054,0.186714,0.00084,11.70
081,00052,0.177952,0.00084,11.80
082,00053,0.172206,0.00083,11.68
083,00053,0.175474,0.00084,11.92
084,00053,0.173262,0.00085,11.61
085,00052,0.184042,0.00088,11.89
086,00051,0.183155,0.00086,11.84
087,00052,0.165060,0.00085,11.67
088,00053,0.198715,0.00086,11.77
089,00052,0.208367,0.00087,11.62
090,00052,0.172728,0.00087,11.61
091,00053,0.190065,0.00088,11.58
092,00052,0.148472,0.00089,11.75
093,00054,0.168543,0.00090,11.69
094,00054,0.154979,0.00089,11.60
095,00053,0.168830,0.00089,11.65
096,00054,0.162603,0.00089,11.59
097,00052,0.183414,0.00088,11.60
098,00053,0.171339,0.00089,11.62
099,00053,0.185674,0.00089,11.62
100,00055,0.175562,0.00089,11.62
101,00000,0.000000,0.00000,18.53
