epoch,time(s),train_loss,test_loss,test_error(%)
001,00050,0.872331,0.00126,19.53
002,00047,0.811099,0.00108,17.33
003,00050,0.694143,0.00095,15.45
004,00047,0.628260,0.00087,13.91
005,00049,0.604445,0.00083,13.99
006,00049,0.589970,0.00080,13.16
007,00047,0.549387,0.00076,12.55
008,00048,0.568511,0.00077,12.69
009,00049,0.569542,0.00071,11.97
010,00049,0.549224,0.00071,12.14
011,00050,0.510259,0.00068,11.39
012,00049,0.499156,0.00066,10.96
013,00049,0.498043,0.00065,11.17
014,00047,0.482117,0.00064,10.86
015,00047,0.452985,0.00064,10.84
016,00048,0.437360,0.00061,10.20
017,00049,0.470489,0.00060,10.44
018,00049,0.438546,0.00061,10.57
019,00049,0.469167,0.00058,9.99
020,00048,0.430743,0.00059,10.35
021,00047,0.434222,0.00058,10.01
022,00047,0.430668,0.00057,9.89
023,00049,0.417128,0.00056,9.87
024,00047,0.410642,0.00055,9.47
025,00049,0.434362,0.00056,9.53
026,00048,0.416000,0.00054,9.27
027,00048,0.374577,0.00054,9.17
028,00047,0.408922,0.00054,9.37
029,00047,0.387750,0.00053,9.10
030,00048,0.325155,0.00052,8.97
031,00048,0.362563,0.00052,9.13
032,00048,0.372402,0.00052,9.05
033,00049,0.353848,0.00052,8.88
034,00048,0.378169,0.00051,9.23
035,00050,0.359178,0.00051,9.05
036,00048,0.334910,0.00051,9.20
037,00049,0.308027,0.00051,9.08
038,00048,0.356935,0.00051,9.00
039,00048,0.336830,0.00049,8.56
040,00047,0.342262,0.00049,8.70
041,00048,0.326853,0.00051,8.80
042,00048,0.328887,0.00049,8.65
043,00049,0.337924,0.00051,9.05
044,00048,0.319698,0.00048,8.50
045,00049,0.327680,0.00049,8.82
046,00049,0.358817,0.00048,8.57
047,00049,0.322341,0.00050,8.63
048,00049,0.333544,0.00049,8.53
049,00048,0.302632,0.00049,8.70
050,00048,0.308162,0.00048,8.41
051,00048,0.293354,0.00048,8.35
052,00048,0.296591,0.00047,8.34
053,00048,0.307675,0.00047,8.59
054,00048,0.286009,0.00047,8.24
055,00048,0.283995,0.00046,8.04
056,00048,0.279042,0.00046,8.04
057,00048,0.283364,0.00046,7.90
058,00048,0.280565,0.00046,7.93
059,00049,0.256768,0.00045,7.93
060,00048,0.265205,0.00046,8.23
061,00047,0.266850,0.00047,8.22
062,00049,0.254026,0.00045,7.83
063,00049,0.286041,0.00046,8.17
064,00048,0.249661,0.00047,8.25
065,00048,0.252273,0.00045,8.04
066,00048,0.269557,0.00044,7.86
067,00048,0.264162,0.00045,7.95
068,00049,0.254926,0.00045,7.85
069,00048,0.259243,0.00045,7.89
070,00048,0.285424,0.00045,8.02
071,00048,0.251994,0.00044,7.81
072,00048,0.278874,0.00045,7.69
073,00048,0.264055,0.00045,7.89
074,00048,0.224147,0.00044,7.74
075,00049,0.251537,0.00044,7.65
076,00050,0.235982,0.00044,7.61
077,00048,0.245656,0.00043,7.73
078,00048,0.253006,0.00043,7.66
079,00049,0.230324,0.00043,7.56
080,00048,0.256633,0.00043,7.67
081,00048,0.261731,0.00043,7.69
082,00048,0.207278,0.00043,7.74
083,00047,0.228786,0.00042,7.60
084,00048,0.223932,0.00043,7.47
085,00048,0.232485,0.00043,7.39
086,00047,0.200285,0.00043,7.43
087,00047,0.214168,0.00043,7.54
088,00048,0.216523,0.00043,7.49
089,00047,0.225769,0.00042,7.43
090,00047,0.207213,0.00042,7.42
091,00048,0.220290,0.00042,7.47
092,00047,0.216060,0.00042,7.41
093,00048,0.207297,0.00042,7.40
094,00049,0.218302,0.00042,7.35
095,00049,0.207983,0.00042,7.41
096,00049,0.213249,0.00042,7.38
097,00049,0.209027,0.00042,7.38
098,00048,0.210007,0.00042,7.36
099,00049,0.226691,0.00042,7.33
100,00048,0.212780,0.00042,7.34
101,00000,0.000000,0.00000,13.72
