epoch,time(s),train_loss,test_loss,test_error(%)
001,00038,1.928764,0.00355,66.79
002,00035,1.668327,0.00300,55.71
003,00037,1.498205,0.00264,47.47
004,00036,1.388237,0.00245,44.52
005,00036,1.331176,0.00262,45.50
006,00035,1.242128,0.00200,33.30
007,00035,1.175216,0.00196,32.99
008,00035,1.117640,0.00187,31.69
009,00036,1.103391,0.00163,26.79
010,00035,1.045053,0.00159,25.87
011,00036,1.051740,0.00155,26.35
012,00036,0.997741,0.00150,24.78
013,00036,0.989863,0.00149,24.58
014,00037,0.995752,0.00148,25.46
015,00038,0.896145,0.00140,22.80
016,00039,0.917177,0.00141,23.57
017,00039,0.919778,0.00131,21.44
018,00037,0.873739,0.00126,21.16
019,00036,0.866807,0.00125,21.25
020,00038,0.865788,0.00129,21.45
021,00037,0.846690,0.00137,23.07
022,00037,0.845011,0.00122,20.36
023,00039,0.819650,0.00120,19.88
024,00039,0.812242,0.00116,19.19
025,00037,0.807480,0.00125,20.94
026,00036,0.828600,0.00114,18.61
027,00036,0.760005,0.00118,19.52
028,00042,0.753288,0.00111,18.21
029,00036,0.739313,0.00113,18.50
030,00037,0.708447,0.00108,17.90
031,00036,0.717703,0.00110,18.74
032,00038,0.716307,0.00107,17.85
033,00036,0.728056,0.00108,17.51
034,00037,0.745225,0.00108,18.38
035,00036,0.718541,0.00102,16.95
036,00037,0.669466,0.00100,16.64
037,00036,0.694764,0.00101,16.78
038,00037,0.650877,0.00099,16.64
039,00038,0.658729,0.00098,16.64
040,00037,0.647435,0.00100,16.91
041,00036,0.636063,0.00098,17.01
042,00037,0.638172,0.00095,15.79
043,00038,0.631404,0.00097,16.46
044,00036,0.625463,0.00092,15.30
045,00040,0.624363,0.00092,15.34
046,00036,0.607532,0.00095,16.20
047,00037,0.658981,0.00096,16.41
048,00035,0.603157,0.00092,15.53
049,00037,0.631004,0.00088,14.54
050,00035,0.569851,0.00089,14.98
051,00036,0.628367,0.00092,15.53
052,00036,0.605326,0.00092,15.72
053,00037,0.601765,0.00088,15.15
054,00038,0.582010,0.00087,14.87
055,00038,0.563461,0.00086,14.50
056,00037,0.564567,0.00085,14.49
057,00039,0.574239,0.00086,14.47
058,00037,0.548306,0.00084,13.96
059,00040,0.575349,0.00085,14.52
060,00039,0.557948,0.00084,14.15
061,00037,0.514352,0.00082,14.04
062,00040,0.536159,0.00083,13.82
063,00037,0.510127,0.00081,13.58
064,00037,0.514829,0.00081,13.62
065,00037,0.509805,0.00079,13.51
066,00037,0.509916,0.00081,13.69
067,00038,0.498922,0.00080,13.60
068,00036,0.481496,0.00078,12.90
069,00036,0.474549,0.00080,13.68
070,00037,0.491983,0.00078,12.96
071,00039,0.490486,0.00078,12.95
072,00038,0.455249,0.00078,13.03
073,00038,0.474932,0.00077,12.87
074,00039,0.471385,0.00078,13.32
075,00037,0.446692,0.00076,13.07
076,00038,0.464358,0.00076,13.13
077,00036,0.490079,0.00076,13.02
078,00038,0.421458,0.00076,13.02
079,00038,0.446597,0.00077,12.93
080,00037,0.424406,0.00076,12.96
081,00036,0.438668,0.00075,12.67
082,00037,0.493262,0.00075,12.87
083,00038,0.456887,0.00074,12.80
084,00037,0.453603,0.00075,12.72
085,00037,0.443431,0.00075,12.66
086,00037,0.451460,0.00074,12.84
087,00035,0.431783,0.00074,12.49
088,00037,0.415894,0.00074,12.77
089,00036,0.459524,0.00074,12.77
090,00037,0.462155,0.00074,12.69
091,00035,0.418418,0.00074,12.50
092,00036,0.434570,0.00073,12.50
093,00035,0.417160,0.00073,12.72
094,00036,0.421022,0.00073,12.69
095,00036,0.430504,0.00074,12.55
096,00036,0.413488,0.00074,12.69
097,00037,0.463962,0.00073,12.52
098,00036,0.445469,0.00073,12.65
099,00036,0.413309,0.00073,12.64
100,00036,0.421061,0.00074,12.68
101,00000,0.000000,0.00000,18.23
