epoch,time(s),train_loss,test_loss,test_error(%)
001,00037,1.704572,0.00289,51.43
002,00036,1.441057,0.00249,44.25
003,00037,1.336507,0.00216,37.96
004,00037,1.227279,0.00198,34.25
005,00037,1.215582,0.00201,34.22
006,00039,1.134951,0.00175,29.01
007,00038,1.060751,0.00168,28.79
008,00036,1.071765,0.00162,26.75
009,00036,1.027397,0.00151,24.95
010,00037,1.006335,0.00153,25.60
011,00038,0.992934,0.00150,25.25
012,00039,0.947916,0.00145,23.91
013,00039,0.954376,0.00140,22.76
014,00038,0.930273,0.00138,22.55
015,00037,0.860312,0.00131,21.76
016,00035,0.885655,0.00132,22.03
017,00038,0.885966,0.00132,21.83
018,00038,0.850624,0.00126,20.37
019,00038,0.833616,0.00133,22.10
020,00038,0.847070,0.00128,21.16
021,00037,0.818769,0.00124,20.31
022,00036,0.818571,0.00127,21.26
023,00036,0.806425,0.00122,20.06
024,00037,0.811352,0.00118,19.75
025,00037,0.773417,0.00118,19.39
026,00039,0.815872,0.00123,20.66
027,00040,0.782285,0.00118,19.77
028,00038,0.761248,0.00118,19.15
029,00036,0.738327,0.00113,18.74
030,00037,0.732196,0.00114,19.00
031,00036,0.739458,0.00112,18.48
032,00037,0.732957,0.00112,18.56
033,00039,0.758145,0.00117,19.25
034,00037,0.770372,0.00113,18.44
035,00037,0.740353,0.00108,17.45
036,00040,0.695972,0.00107,18.07
037,00037,0.710930,0.00106,17.80
038,00037,0.668858,0.00107,17.45
039,00040,0.719852,0.00106,17.51
040,00037,0.668854,0.00103,16.65
041,00038,0.687429,0.00103,16.74
042,00036,0.664347,0.00104,17.16
043,00037,0.682811,0.00104,17.27
044,00038,0.698533,0.00103,16.76
045,00039,0.665750,0.00105,17.24
046,00039,0.638916,0.00102,17.05
047,00036,0.695924,0.00100,16.22
048,00039,0.633480,0.00100,16.51
049,00037,0.661143,0.00095,15.65
050,00038,0.665786,0.00101,16.82
051,00037,0.653561,0.00097,15.98
052,00040,0.645543,0.00099,16.25
053,00037,0.670580,0.00095,15.66
054,00039,0.634189,0.00096,15.73
055,00038,0.618731,0.00091,15.16
056,00037,0.616417,0.00093,15.34
057,00037,0.612705,0.00092,15.64
058,00039,0.568562,0.00090,14.60
059,00037,0.600227,0.00089,14.54
060,00036,0.599908,0.00089,14.51
061,00037,0.557670,0.00088,14.48
062,00036,0.560550,0.00085,13.91
063,00039,0.548399,0.00087,14.57
064,00038,0.513839,0.00085,14.35
065,00038,0.553561,0.00085,14.39
066,00037,0.552379,0.00086,14.30
067,00037,0.525834,0.00082,13.65
068,00038,0.547851,0.00082,13.87
069,00040,0.505999,0.00082,13.82
070,00036,0.508271,0.00080,13.21
071,00037,0.482177,0.00083,13.87
072,00038,0.491305,0.00082,13.62
073,00039,0.486035,0.00079,13.33
074,00037,0.489116,0.00078,13.23
075,00038,0.466091,0.00077,12.90
076,00038,0.462105,0.00077,12.83
077,00038,0.486283,0.00076,12.91
078,00039,0.427178,0.00075,12.64
079,00038,0.442198,0.00076,12.73
080,00037,0.408854,0.00075,12.55
081,00040,0.419840,0.00075,12.43
082,00037,0.467418,0.00075,12.81
083,00039,0.419711,0.00073,12.05
084,00037,0.422358,0.00072,11.84
085,00038,0.396644,0.00072,12.19
086,00037,0.408461,0.00072,12.17
087,00039,0.393846,0.00071,11.96
088,00036,0.366681,0.00072,11.94
089,00037,0.414074,0.00072,11.79
090,00039,0.372949,0.00071,11.62
091,00041,0.376742,0.00070,11.72
092,00038,0.350083,0.00070,11.57
093,00038,0.343337,0.00069,11.56
094,00038,0.349433,0.00070,11.42
095,00037,0.349231,0.00069,11.39
096,00037,0.339594,0.00069,11.59
097,00036,0.363791,0.00069,11.43
098,00038,0.336556,0.00069,11.40
099,00038,0.338497,0.00069,11.47
100,00037,0.340904,0.00069,11.41
101,00000,0.000000,0.00000,17.21
