epoch,time(s),train_loss,test_loss,test_error(%)
001,00050,1.921756,0.00357,63.53
002,00047,1.631783,0.00290,52.05
003,00045,1.465047,0.00255,45.89
004,00050,1.346719,0.00225,39.61
005,00047,1.282889,0.00218,37.40
006,00049,1.236717,0.00201,33.67
007,00048,1.147218,0.00177,29.66
008,00046,1.124356,0.00176,29.79
009,00049,1.101575,0.00164,26.74
010,00049,1.049940,0.00156,25.42
011,00051,1.042904,0.00147,23.80
012,00048,1.009776,0.00148,24.32
013,00049,1.005049,0.00151,24.85
014,00052,0.972775,0.00143,24.17
015,00051,0.894990,0.00140,23.33
016,00047,0.945903,0.00138,22.61
017,00054,0.922778,0.00132,22.46
018,00054,0.876734,0.00129,21.99
019,00058,0.855202,0.00124,20.39
020,00054,0.853494,0.00123,19.86
021,00054,0.866369,0.00124,20.77
022,00048,0.840283,0.00124,20.65
023,00053,0.813751,0.00124,20.68
024,00054,0.817942,0.00117,19.69
025,00055,0.774789,0.00116,19.45
026,00054,0.824241,0.00114,18.63
027,00058,0.757155,0.00113,18.90
028,00053,0.759438,0.00112,18.83
029,00061,0.724354,0.00107,18.01
030,00055,0.718500,0.00106,17.54
031,00059,0.726134,0.00108,18.03
032,00057,0.720075,0.00107,17.67
033,00057,0.716912,0.00104,17.13
034,00055,0.771325,0.00109,18.08
035,00056,0.715498,0.00101,16.54
036,00058,0.684474,0.00101,16.79
037,00056,0.794187,0.00112,18.23
038,00054,0.640945,0.00101,16.53
039,00059,0.683074,0.00099,16.33
040,00055,0.668473,0.00099,16.21
041,00062,0.648186,0.00098,16.13
042,00055,0.647318,0.00093,15.64
043,00057,0.626604,0.00096,15.88
044,00053,0.665180,0.00093,15.88
045,00057,0.642581,0.00097,16.59
046,00054,0.611101,0.00097,16.16
047,00051,0.659020,0.00093,15.44
048,00056,0.606095,0.00090,14.96
049,00054,0.642009,0.00092,15.19
050,00057,0.610522,0.00092,15.40
051,00058,0.615565,0.00090,15.26
052,00061,0.622970,0.00090,14.81
053,00058,0.618384,0.00089,14.73
054,00056,0.588239,0.00091,15.20
055,00059,0.598321,0.00088,14.87
056,00054,0.576765,0.00085,14.15
057,00054,0.592457,0.00085,14.05
058,00054,0.569987,0.00084,14.06
059,00054,0.578812,0.00084,14.06
060,00056,0.575514,0.00085,14.01
061,00059,0.545427,0.00086,14.27
062,00054,0.555275,0.00084,14.05
063,00054,0.553644,0.00084,14.04
064,00062,0.513031,0.00082,13.81
065,00055,0.546646,0.00082,13.71
066,00058,0.565791,0.00082,14.14
067,00053,0.527502,0.00082,13.94
068,00057,0.530264,0.00082,13.83
069,00052,0.508398,0.00081,13.58
070,00051,0.507357,0.00080,13.50
071,00059,0.503160,0.00079,13.37
072,00055,0.494343,0.00081,13.54
073,00053,0.482692,0.00078,13.27
074,00059,0.507009,0.00079,13.41
075,00057,0.499263,0.00078,13.18
076,00055,0.502065,0.00079,13.43
077,00055,0.513722,0.00078,13.16
078,00055,0.453639,0.00079,13.51
079,00050,0.482799,0.00078,13.21
080,00046,0.458024,0.00078,13.00
081,00050,0.465766,0.00078,13.19
082,00048,0.501277,0.00077,13.05
083,00048,0.485405,0.00077,13.08
084,00049,0.479571,0.00077,12.98
085,00047,0.430689,0.00077,12.84
086,00051,0.478649,0.00077,13.07
087,00054,0.462347,0.00077,13.05
088,00048,0.461735,0.00076,13.06
089,00050,0.496171,0.00076,12.77
090,00048,0.470177,0.00076,12.83
091,00048,0.465779,0.00076,12.78
092,00050,0.460651,0.00076,12.63
093,00045,0.452527,0.00076,12.85
094,00044,0.450605,0.00076,12.87
095,00044,0.471414,0.00076,12.82
096,00045,0.429802,0.00076,12.81
097,00044,0.480990,0.00076,12.97
098,00046,0.457099,0.00076,12.86
099,00044,0.456222,0.00076,12.78
100,00042,0.446768,0.00076,12.82
101,00000,0.000000,0.00000,18.60
