epoch,time(s),train_loss,test_loss,test_error(%)
001,00043,1.147109,0.00169,27.84
002,00042,0.913278,0.00138,22.99
003,00041,0.925618,0.00138,22.61
004,00042,0.845343,0.00130,21.44
005,00041,0.852659,0.00125,20.47
006,00041,0.823805,0.00117,18.84
007,00040,0.790055,0.00112,18.37
008,00040,0.798024,0.00112,17.81
009,00040,0.787099,0.00110,17.80
010,00040,0.769757,0.00112,18.32
011,00041,0.789977,0.00110,18.08
012,00042,0.924075,0.00321,29.39
013,00043,0.761115,0.00108,17.76
014,00040,0.738021,0.00104,17.15
015,00041,0.667089,0.00102,16.77
016,00043,0.714347,0.00105,17.07
017,00042,0.726241,0.00100,16.73
018,00043,0.684779,0.00097,16.59
019,00043,0.659485,0.00097,16.74
020,00040,0.674008,0.00098,16.55
021,00041,0.671150,0.00097,16.34
022,00040,0.674081,0.00098,16.59
023,00042,0.659194,0.00097,16.04
024,00040,0.677617,0.00101,16.82
025,00041,0.628042,0.00097,16.55
026,00039,0.664009,0.00095,15.46
027,00042,0.639318,0.00093,15.33
028,00039,0.628997,0.00095,15.36
029,00042,0.614473,0.00092,15.27
030,00041,0.603970,0.00090,14.92
031,00040,0.590387,0.00091,15.29
032,00042,0.612737,0.00090,15.08
033,00043,0.624104,0.00092,15.56
034,00040,0.633789,0.00094,15.68
035,00044,0.610734,0.00088,14.70
036,00043,0.602188,0.00088,15.03
037,00042,0.585681,0.00089,14.91
038,00040,0.581043,0.00088,14.91
039,00042,0.598794,0.00085,14.05
040,00040,0.551553,0.00087,14.52
041,00042,0.555513,0.00088,14.61
042,00041,0.562324,0.00086,14.45
043,00040,0.563793,0.00089,15.04
044,00041,0.590860,0.00085,14.01
045,00041,0.557596,0.00086,14.19
046,00040,0.536560,0.00085,14.25
047,00040,0.566061,0.00087,14.57
048,00043,0.534702,0.00084,14.00
049,00040,0.563605,0.00082,13.39
050,00041,0.527270,0.00084,14.26
051,00041,0.564026,0.00084,13.97
052,00042,0.519231,0.00083,13.90
053,00043,0.522445,0.00080,13.43
054,00041,0.511912,0.00081,13.74
055,00043,0.514532,0.00082,13.69
056,00041,0.493337,0.00081,13.93
057,00041,0.488986,0.00078,13.00
058,00043,0.490908,0.00078,13.14
059,00043,0.508537,0.00077,12.88
060,00042,0.484087,0.00080,13.58
061,00042,0.471846,0.00079,13.52
062,00042,0.464155,0.00078,13.27
063,00045,0.435032,0.00079,13.31
064,00043,0.430766,0.00076,12.81
065,00041,0.422269,0.00075,12.77
066,00040,0.424715,0.00077,12.91
067,00042,0.423931,0.00075,12.53
068,00042,0.413553,0.00074,12.32
069,00041,0.390947,0.00075,12.39
070,00043,0.402680,0.00074,12.44
071,00042,0.380677,0.00074,12.63
072,00041,0.366171,0.00073,12.13
073,00043,0.385298,0.00072,12.22
074,00041,0.400020,0.00072,11.94
075,00041,0.350884,0.00074,12.58
076,00041,0.360942,0.00071,11.82
077,00042,0.391189,0.00072,12.10
078,00042,0.340684,0.00071,11.72
079,00042,0.344194,0.00072,12.10
080,00042,0.318508,0.00070,11.75
081,00043,0.290069,0.00072,11.69
082,00042,0.335799,0.00071,11.62
083,00042,0.324647,0.00070,11.50
084,00041,0.314628,0.00070,11.30
085,00042,0.291776,0.00070,11.53
086,00041,0.294255,0.00069,11.28
087,00041,0.303815,0.00068,11.07
088,00041,0.277660,0.00069,11.21
089,00042,0.316093,0.00069,10.80
090,00043,0.303524,0.00068,10.88
091,00040,0.277313,0.00068,10.86
092,00042,0.250070,0.00068,10.91
093,00045,0.239713,0.00068,10.77
094,00042,0.254203,0.00068,10.86
095,00042,0.245485,0.00068,10.92
096,00043,0.240620,0.00068,11.01
097,00042,0.271598,0.00068,10.89
098,00042,0.252924,0.00069,10.93
099,00040,0.231383,0.00068,10.89
100,00042,0.271065,0.00068,10.97
101,00000,0.000000,0.00000,16.62
